price,price_range_min,price_range_max,location,brand,model,km_driven,vehicle_type,engine_capacity,origin,description,age,Brand_Model
66,72.53,85.14,Quận 1,Piaggio,Vespa,14000,Tay ga,100 - 175 cc,Đang cập nhật,"Bán Vespa Sprint 125cc 2024 xanh dương, xe đẹp 95% Bán xe #Vespa Sprint 125cc. Mua mới tại #Topcom 01/2024, Xe chính chủ. Chạy được 14.000km. Giá: 66tr(TL). Anh/chị quan tâm nhắn Zalo số: ***. Công chứng Hợp đồng mua bán trong ngày.",1,Piaggio Vespa
79.5,62.76,73.68,Quận 1,Honda,SH,28000,Tay ga,100 - 175 cc,Đang cập nhật,"🔥🔥SH 150i Thắng ABS 2019 BSTP Chính Chủ _Bán SH 150i Thắng ABS 2019 Xám Bạc, Úp Team Xám Xi Măng.
_Xe nhà sử dụng kỹ ít đi, chính chủ, biển số thành phố
_Xe mới keng, Máy móc nguyên zin, êm bốc, ae qua xe xem test thoải mái
_Mua bán tại nhà, sang tên ký giấy 1 nốt nhạc
_Xem Xe Tại Nhà Tân Sơn Nhì, P Tân Sơn Nhì , Q Tân Phú",6,Honda SH
37,28,32.86,Quận 1,Honda,Vision,12000,Tay ga,100 - 175 cc,Đang cập nhật,"CC Vision Thể Thao 2023 Đen+bộ đèn Demi audi A7 Chính chủ bán Vision phiên bản Thể Thao 2023 Đen
Xe mua chính hãng tháng 10/2023, bảo dưỡng đầy đủ, xe gia đình đi giữ gìn.
Xe đã độ lên đèn Demi led audi A7 và Đèn hậu led audi A7 (giá thị trường 5tr)
(còn nguyên đèn mới zin theo xe)
Liên hệ chính chủ 09xau xau 5 7 năm 3 sáu 7",2,Honda Vision
45,43.1,50.6,Quận 1,Piaggio,Vespa,60000,Tay ga,100 - 175 cc,Đang cập nhật,"Vespa Sprint 2019 -125- Đen Đỏ Sport -CHÍNH CHỦ XE CÁ NHÂN BÁN - XE DO EM ĐỨNG TÊN CHÍNH CHỦ.
Chi Tiết hình ảnh xe đã có đủ. Cần thì liên hệ em.
Sản phẩm theo xe zin còn ( Kính, Bao tay, cảng sau, Chìa khóa còn đủ )
CÓ FIX THÊM CHO ANH CHỊ VỀ SƠN DẬM LẠI.
Xem xe chi tiết Quận 1.
liên hệ trao đổi qua GIÀLÔ: Không 933940 bốn ba hai.",6,Piaggio Vespa
23,17.02,19.98,Quận 1,Yamaha,Latte,24000,Tay ga,100 - 175 cc,Nhật Bản,"Xe tay ga Yamaha Latte 125 – Đăng ký 2021 🛵 Thông tin xe:

Dòng xe tay ga cao cấp Yamaha Latte 125, máy mạnh, tiết kiệm xăng.

Màu đen nhám phối yên nâu.

Xe thuộc phiên bản cao cấp có hệ thống Stop & Start System, giúp tiết kiệm nhiên liệu và giảm khí thải.

Odo hiện tại hơn 24.000 km – bảo dưỡng đều, máy móc vẫn rất ổn định.

Đăng ký lần đầu: tháng 3/2021

Máy zin, đề nhạy, vận hành êm

Cốp xe rộng, tiện để nón, túi xách

Bánh còn tốt, phanh an toàn, đèn đóm đầy đủ

📍 Quận 1, TP.HCM, xem xe trực tiếp tại nhà theo hẹn
💰 Giá bán: 23 triệu",4,Yamaha Latte
7.5,7.73,9.08,Quận 1,SYM,Elegant,25000,Xe số,Dưới 50 cc,Đang cập nhật,Xe hoc sinh di hoc nay có bằng lái muốn bán lại Xe cup 50cc không cần bằng lái chay im không hao xăng đề 1 cái chạy,7,SYM Elegant
16,13.83,16.24,Quận 1,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,"xe Air Blade 2013 Xe Air Blade 2013, BST, số km: 80.000, xe mới fix, giá cả thương lượng thêm",12,Honda Air Blade
7.3,10.08,11.83,Quận 1,Honda,Wave,2,Xe số,50 - 100 cc,Đang cập nhật,"Bán Xe Wave HQ up dàn áo leng keng Cục máy làm chạy nhẹ xe
dàn áo còn keng
bstp , bao tranh chấp , gtdd 09c
giá 7tr3 ( fix xăng cộ ae xem xe) 
Cô dì chú bán ae ưng ý thì kb zalo eml",22,Honda Wave
7.5,6.97,8.19,Quận 1,Yamaha,Sirius,35000,Xe số,100 - 175 cc,Việt Nam,"cần bán xe để đối xe nên để giá yêu thương Xe chính chủ
xe chạy còn ngon 
máy mạnh
bị bể bửng trước 
LH:***",10,Yamaha Sirius
33,27.45,32.22,Quận 1,Honda,Lead,20000,Tay ga,100 - 175 cc,Việt Nam,"Xe honda Lead 2020 BSTP bản giới hạn đèn Led Mình đi xuất cảnh định cư nên cần bán chiếc xe honda LEAD 2020 BSTP xe nhà ít đi.bảo dưỡng đầy đủ nên xe còn rất mới.zin từ trong ra ngoài.nước sơn zin ko dặm tút.máy móc zin êm.chạy rất mạnh và nhẹ ga.xe này mua về là đi thôi.ko phải làm gì hết.xe sài smakey.còn đủ 2 kính.xe màu đỏ đô.tới xem xe phát hiện ra chổ nào ko zin hoặc dậm tút tặng luôn xe.mình là nguoi dùng bán.chứ ko phải cò lái.giấy tờ hợp pháp mua bán ra phòng công chứng,công chứng sang tên luôn.",5,Honda Lead
