km_driven,age,location,brand,model,vehicle_type,engine_capacity,origin,price
14000,1,Quận 1,Piaggio,Vespa,Tay ga,100 - 175 cc,Đang cập nhật,66.0
28000,6,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Đang cập nhật,79.5
12000,2,Quận 1,Honda,Vision,Tay ga,100 - 175 cc,Đang cập nhật,37.0
60000,6,Quận 1,Piaggio,Vespa,Tay ga,100 - 175 cc,Đang cập nhật,45.0
24000,4,Quận 1,Yamaha,Latte,Tay ga,100 - 175 cc,Nhật Bản,23.0
25000,7,Quận 1,SYM,Elegant,Xe số,Dưới 50 cc,Đang cập nhật,7.5
80000,12,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,16.0
2,22,Quận 1,Honda,Wave,Xe số,50 - 100 cc,Đang cập nhật,7.3
35000,10,Quận 1,Yamaha,Sirius,Xe số,100 - 175 cc,Việt Nam,7.5
20000,5,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Việt Nam,33.0
8000,20,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nước khác,100.0
10000,9,Quận 1,SYM,Wolf,Tay côn/Moto,100 - 175 cc,Đài Loan,14.8
20000,11,Quận 1,Yamaha,Exciter,Xe số,100 - 175 cc,Nhật Bản,18.5
900,1,Quận 1,Honda,Vario,Tay ga,100 - 175 cc,Việt Nam,37.0
70000,2,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Nhật Bản,11.0
8600,3,Quận 1,Honda,Cub,Xe số,100 - 175 cc,Thái Lan,83.0
27000,6,Quận 1,Honda,Vario,Tay ga,100 - 175 cc,Việt Nam,33.0
23000,9,Quận 1,Piaggio,Vespa,Tay ga,100 - 175 cc,Nước khác,30.0
38000,17,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nước khác,65.0
2642,3,Quận 1,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,29.9
6000,11,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,15.0
9999,6,Quận 1,Honda,CBR,Tay côn/Moto,100 - 175 cc,Nước khác,31.999
13000,11,Quận 1,KTM,1290 Super Duke R,Tay côn/Moto,Trên 175 cc,Nước khác,350.0
5000,6,Quận 1,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,19.0
15000,15,Quận 1,Honda,SCR,Tay ga,100 - 175 cc,Trung Quốc,7.0
55000,14,Quận 1,Suzuki,Hayate,Tay ga,100 - 175 cc,Nhật Bản,4.3
48364,3,Quận 1,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Nhật Bản,32.0
30000,7,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,12.5
9500,3,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,87.0
5000,6,Quận 1,Hãng khác,Dòng khác,Tay ga,100 - 175 cc,Nước khác,43.0
10000,16,Quận 1,SYM,Attila,Tay ga,100 - 175 cc,Nhật Bản,3.2
8000,6,Quận 1,Piaggio,Zip,Tay ga,100 - 175 cc,Việt Nam,21.0
52000,5,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nhật Bản,70.0
500,1,Quận 1,Honda,Wave,Xe số,50 - 100 cc,Trung Quốc,10.8
20000,6,Quận 1,Yamaha,R,Tay côn/Moto,100 - 175 cc,Việt Nam,35.5
1363,4,Quận 1,Peugeot,Django,Tay ga,50 - 100 cc,Nước khác,49.0
25000,10,Quận 1,Honda,Click,Xe số,100 - 175 cc,Thái Lan,64.999999
50000,13,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Việt Nam,11.5
1,7,Quận 1,Honda,@,Xe số,100 - 175 cc,Việt Nam,12.8
40000,21,Quận 1,SYM,Attila,Tay ga,100 - 175 cc,Đang cập nhật,4.3
80000,5,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,45.0
46000,6,Quận 1,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,22.5
51000,16,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,10.8
15000,4,Quận 1,Honda,Future,Xe số,100 - 175 cc,Đang cập nhật,25.8
999,8,Quận 1,Honda,SH,Tay ga,Trên 175 cc,Nước khác,140.0
56688,8,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,12.0
4900,3,Quận 1,Yamaha,Mio,Tay ga,100 - 175 cc,Nhật Bản,25.99
2,5,Quận 1,Honda,Dòng khác,Tay côn/Moto,Trên 175 cc,Nhật Bản,120.0
27000,6,Quận 1,Honda,Vario,Tay ga,100 - 175 cc,Thái Lan,32.0
3263,2,Quận 1,Honda,MSX 125,Tay ga,100 - 175 cc,Việt Nam,36.0
1000,1,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,40.0
23015,14,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,6.8
92000,15,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Việt Nam,8.5
11500,6,Quận 1,Royal Enfield,Interceptor 650,Tay côn/Moto,Trên 175 cc,Đang cập nhật,120.0
9999,15,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Nhật Bản,12.9
8000,1,Quận 1,Hãng khác,Dòng khác,Xe số,50 - 100 cc,Việt Nam,17.0
35000,6,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,72.0
11000,2,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,39.0
2400,1,Quận 1,Yamaha,Janus,Tay ga,100 - 175 cc,Đang cập nhật,26.0
12000,27,Quận 1,Honda,Cub,Xe số,Dưới 50 cc,Nhật Bản,9.2
40000,15,Quận 1,Yamaha,Sirius,Xe số,100 - 175 cc,Việt Nam,7.3
5062,2,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,16.555555
10000,18,Quận 1,SYM,Attila,Tay ga,50 - 100 cc,Việt Nam,3.0
30,3,Quận 1,Hãng khác,Dòng khác,Tay côn/Moto,50 - 100 cc,Việt Nam,28.0
26264,7,Quận 1,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Nhật Bản,27.0
12779,15,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Thái Lan,22.9
25,7,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Đang cập nhật,9.2
12000,28,Quận 1,Honda,Cub,Xe số,Dưới 50 cc,Nhật Bản,11.0
49000,20,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nước khác,35.5
11000,14,Quận 1,Piaggio,Vespa,Tay ga,100 - 175 cc,Việt Nam,9.0
45000,18,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Nhật Bản,8.0
20000,5,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,27.5
15000,2,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Việt Nam,39.0
100000,0,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nhật Bản,18.0
21000,4,Quận 1,Honda,Future,Xe số,100 - 175 cc,Việt Nam,26.5
40000,3,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,17.0
800,1,Quận 1,Hãng khác,Dòng khác,Tay ga,Dưới 50 cc,Đài Loan,16.0
25,8,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Nhật Bản,8.6
49530,5,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,75.0
40000,2,Quận 1,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Việt Nam,4.0
100000,12,Quận 1,SYM,Elizabeth,Tay ga,100 - 175 cc,Nhật Bản,2.5
30,0,Quận 1,Honda,Wave,Xe số,100 - 175 cc,Nhật Bản,17.0
50000,16,Quận 1,Piaggio,GTS,Tay ga,100 - 175 cc,Nước khác,26.0
15381,20,Quận 1,Honda,Wave,Xe số,50 - 100 cc,Việt Nam,5.5
39000,7,Quận 1,Honda,Wave,Xe số,50 - 100 cc,Nhật Bản,13.4
15000,27,Quận 1,Suzuki,Sport / Xipo,Tay côn/Moto,100 - 175 cc,Đang cập nhật,15.0
44000,6,Quận 1,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,16.5
71000,18,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nước khác,45.0
30000,9,Quận 1,Piaggio,Liberty,Tay ga,100 - 175 cc,Đang cập nhật,17.5
25000,14,Quận 1,Honda,PCX,Tay ga,100 - 175 cc,Thái Lan,15.8
32668,11,Quận 1,SYM,Venus,Tay ga,100 - 175 cc,Đài Loan,4.9
50000,24,Quận 1,Hãng khác,Dòng khác,Xe số,100 - 175 cc,Việt Nam,11.1
10605,2,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,74.5
47744,5,Quận 1,Honda,Sonic,Tay côn/Moto,100 - 175 cc,Nước khác,19.999999
100000,15,Quận 1,Honda,PCX,Tay ga,100 - 175 cc,Thái Lan,16.5
7000,20,Quận 1,Honda,Dòng khác,Tay ga,Dưới 50 cc,Nhật Bản,10.5
23,14,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,2.6
12000,25,Quận 1,Honda,Dream,Xe số,50 - 100 cc,Nhật Bản,13.5
12000,27,Quận 1,Honda,Cub,Xe số,Dưới 50 cc,Nhật Bản,5.3
62000,17,Quận 1,Honda,Wave,Xe số,50 - 100 cc,Việt Nam,9.0
40000,15,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Việt Nam,8.5
30000,15,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Nhật Bản,8.5
12000,28,Quận 1,Honda,Cub,Xe số,Dưới 50 cc,Nhật Bản,9.7
29000,7,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,38.0
60000,15,Quận 1,Honda,Future,Xe số,100 - 175 cc,Việt Nam,20.5
65,10,Quận 1,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Nhật Bản,17.0
500,27,Quận 1,Suzuki,Dòng khác,Tay côn/Moto,100 - 175 cc,Mỹ,9.5
36688,9,Quận 1,Suzuki,Impulse,Tay ga,100 - 175 cc,Nhật Bản,7.3
12000,3,Quận 1,Honda,Vision,Tay ga,100 - 175 cc,Đang cập nhật,31.0
8850,13,Quận 1,Honda,Dòng khác,Tay côn/Moto,Trên 175 cc,Nhật Bản,50.0
53000,6,Quận 1,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,24.0
23000,3,Quận 1,KTM,Duke 200,Tay côn/Moto,Trên 175 cc,Nước khác,35.0
82288,8,Quận 1,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,12.0
28500,10,Quận 1,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Việt Nam,18.0
9435,13,Quận 1,Yamaha,Nouvo,Tay ga,100 - 175 cc,Nhật Bản,6.5
90000,13,Quận 1,Honda,SH,Tay ga,100 - 175 cc,Nhật Bản,35.0
12000,6,Quận 1,Piaggio,Vespa,Tay ga,100 - 175 cc,Nước khác,55.0
10000,4,Quận 1,Honda,Vario,Tay ga,100 - 175 cc,Việt Nam,20.0
2216,6,Quận 3,Hãng khác,Dòng khác,Tay côn/Moto,100 - 175 cc,Việt Nam,29.0
10000,13,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Nhật Bản,11.5
49,13,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,11.0
100000,23,Quận 3,Honda,Wave,Xe số,50 - 100 cc,Việt Nam,14.5
16000,7,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Việt Nam,48.5
55000,8,Quận 3,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,17.8
21706,14,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,9.0
12345,11,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,39.5
6000,1,Quận 3,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,33.3
45000,3,Quận 3,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,23.5
27000,3,Quận 3,Piaggio,Sprint,Tay ga,100 - 175 cc,Việt Nam,52.0
70000,17,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Nước khác,40.8
3000,15,Quận 3,Hãng khác,Dòng khác,Tay côn/Moto,100 - 175 cc,Hàn Quốc,7.0
59559,24,Quận 3,Honda,Future,Xe số,100 - 175 cc,Nhật Bản,19.0
20000,14,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,90.0
28000,10,Quận 3,Honda,SH Mode,Tay ga,100 - 175 cc,Việt Nam,30.0
85000,24,Quận 3,Honda,Spacy,Tay ga,100 - 175 cc,Nhật Bản,85.0
22000,3,Quận 3,Yamaha,Nvx,Tay ga,100 - 175 cc,Đang cập nhật,43.0
39000,4,Quận 3,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,26.0
15000,3,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Đang cập nhật,74.0
54000,15,Quận 3,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Đang cập nhật,46.0
23000,8,Quận 3,Honda,Blade,Xe số,100 - 175 cc,Việt Nam,12.5
50000,6,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,80.0
12000,25,Quận 3,Honda,Future,Xe số,100 - 175 cc,Thái Lan,35.0
70000,27,Quận 3,Honda,Dòng khác,Xe số,50 - 100 cc,Nhật Bản,80.0
10000,3,Quận 3,Honda,Win,Tay côn/Moto,100 - 175 cc,Việt Nam,25.0
100,9,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Nhật Bản,6.0
36000,11,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Việt Nam,20.0
30000,5,Quận 3,Yamaha,R,Tay côn/Moto,100 - 175 cc,Việt Nam,43.0
55431,13,Quận 3,Honda,Blade,Tay ga,100 - 175 cc,Việt Nam,10.0
1,9,Quận 3,Yamaha,Mio,Tay ga,100 - 175 cc,Việt Nam,7.0
50000,16,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Nước khác,95.0
50000,15,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Nước khác,12.345678
7523,7,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Việt Nam,47.0
53983,9,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,25.0
30000,7,Quận 3,Hãng khác,Dòng khác,Tay ga,Dưới 50 cc,Việt Nam,3.9
7283,6,Quận 3,Piaggio,Vespa S125,Tay ga,100 - 175 cc,Việt Nam,49.0
36000,13,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Đang cập nhật,11.8
20000,3,Quận 3,Suzuki,GD,Tay côn/Moto,100 - 175 cc,Nhật Bản,13.0
1000,25,Quận 3,Honda,Win,Tay côn/Moto,50 - 100 cc,Đang cập nhật,7.5
40000,12,Quận 3,Yamaha,Exciter,Xe số,100 - 175 cc,Đang cập nhật,21.0
39,13,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,11.6
22000,2,Quận 3,Honda,Vario,Tay ga,100 - 175 cc,Nước khác,48.0
35000,7,Quận 3,Yamaha,Janus,Tay ga,100 - 175 cc,Đang cập nhật,16.6
37000,12,Quận 3,Yamaha,Nozza,Tay ga,100 - 175 cc,Việt Nam,12.5
31000,15,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,15.6
33333,12,Quận 3,Yamaha,Luvias,Tay ga,100 - 175 cc,Việt Nam,9.5
17000,5,Quận 3,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,20.0
7500,6,Quận 3,SYM,Dòng khác,Tay ga,100 - 175 cc,Đang cập nhật,10.5
36000,5,Quận 3,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Việt Nam,25.555555
29,8,Quận 3,Honda,Vision,Tay ga,100 - 175 cc,Đang cập nhật,20.6
10000,18,Quận 3,Honda,Dòng khác,Tay ga,Dưới 50 cc,Nhật Bản,12.0
50000,15,Quận 3,Honda,Chaly,Tay ga,50 - 100 cc,Nhật Bản,24.0
31000,13,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,11.9
80000,9,Quận 3,Honda,Wave,Xe số,100 - 175 cc,Việt Nam,11.0
601,4,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Thái Lan,86.0
36000,15,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,15.3
12000,6,Quận 3,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,24.0
36000,13,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,12.6
4,2,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,8.0
36668,18,Quận 3,Piaggio,GTS,Tay ga,100 - 175 cc,Nước khác,8.9
15000,2,Quận 3,Honda,Vision,Tay ga,100 - 175 cc,Việt Nam,31.5
30000,16,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,9.9
30000,26,Quận 3,Suzuki,Dòng khác,Tay côn/Moto,100 - 175 cc,Nhật Bản,12.0
10000,15,Quận 3,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Đang cập nhật,14.0
11000,3,Quận 3,Honda,SH,Tay ga,Trên 175 cc,Thái Lan,120.0
700,3,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Thái Lan,87.0
19000,13,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Nhật Bản,8.3
123,16,Quận 3,Kawasaki,Dòng khác,Xe số,50 - 100 cc,Nhật Bản,3.8
32000,16,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Việt Nam,27.5
24700,4,Quận 3,Yamaha,Sirius,Xe số,100 - 175 cc,Đang cập nhật,11.2
1200,1,Quận 3,Hãng khác,Dòng khác,Tay ga,Dưới 50 cc,Việt Nam,13.0
30000,11,Quận 3,Piaggio,Vespa,Tay ga,100 - 175 cc,Đang cập nhật,22.0
12000,6,Quận 3,Honda,Scoopy,Tay ga,50 - 100 cc,Việt Nam,9.5
16000,24,Quận 3,Honda,Future,Xe số,100 - 175 cc,Đang cập nhật,50.5
35000,5,Quận 3,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Việt Nam,25.555555
100,17,Quận 3,Honda,Wave,Xe số,100 - 175 cc,Hàn Quốc,5.5
20000,14,Quận 3,Honda,CBR,Tay côn/Moto,100 - 175 cc,Thái Lan,22.0
39,15,Quận 3,Honda,Lead,Tay ga,100 - 175 cc,Đang cập nhật,10.0
12345,15,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Nhật Bản,10.7
14000,14,Quận 3,Honda,CBR,Tay côn/Moto,100 - 175 cc,Thái Lan,28.0
1000,4,Quận 3,Honda,ADV 160,Tay ga,100 - 175 cc,Nước khác,89.0
1000,4,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Việt Nam,88.0
38000,19,Quận 3,Honda,Click,Tay ga,100 - 175 cc,Đang cập nhật,9.0
0,28,Quận 3,Honda,Cub,Xe số,Dưới 50 cc,Nhật Bản,8.0
0,15,Quận 3,Suzuki,GN,Tay côn/Moto,100 - 175 cc,Đang cập nhật,12.0
39000,16,Quận 3,Piaggio,LX,Tay ga,100 - 175 cc,Đang cập nhật,10.3
39,9,Quận 3,Honda,Air Blade,Tay ga,100 - 175 cc,Đang cập nhật,23.9
100000,15,Quận 3,Yamaha,Luvias,Tay ga,100 - 175 cc,Việt Nam,7.0
13000,3,Quận 3,Honda,Winner X,Tay côn/Moto,100 - 175 cc,Việt Nam,28.6
36000,5,Quận 3,Yamaha,Exciter,Tay côn/Moto,100 - 175 cc,Việt Nam,25.5
10000,20,Quận 3,Honda,SH,Tay ga,100 - 175 cc,Nước khác,24.2
30000,15,Quận 3,SYM,Shark,Tay ga,100 - 175 cc,Đài Loan,1.8
12345,10,Quận 3,Honda,Dòng khác,Xe số,100 - 175 cc,Nhật Bản,11.0
